Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
100,24,2,2,7,Some Random Commen with Id 100
101,24,2,8,5,Some Random Commen with Id 101
102,24,2,37,3,Some Random Commen with Id 102
103,24,2,166,8,Some Random Commen with Id 103
104,25,4,50,3,Some Random Commen with Id 104
105,25,4,108,1,Some Random Commen with Id 105
106,26,2,12,1,Some Random Commen with Id 106
107,26,2,91,0,Some Random Commen with Id 107
108,26,2,188,7,Some Random Commen with Id 108
109,26,2,99,4,Some Random Commen with Id 109
110,26,2,10,3,Some Random Commen with Id 110
111,26,2,182,1,Some Random Commen with Id 111
112,27,0,95,2,Some Random Commen with Id 112
113,27,0,63,3,Some Random Commen with Id 113
114,27,0,67,2,Some Random Commen with Id 114
115,27,0,60,8,Some Random Commen with Id 115
116,27,0,72,1,Some Random Commen with Id 116
117,27,0,139,9,Some Random Commen with Id 117
118,27,0,160,7,Some Random Commen with Id 118
119,27,0,176,9,Some Random Commen with Id 119
120,27,0,28,5,Some Random Commen with Id 120
121,28,7,20,3,Some Random Commen with Id 121
122,29,0,90,2,Some Random Commen with Id 122
123,30,8,78,5,Some Random Commen with Id 123
124,30,8,189,6,Some Random Commen with Id 124
125,30,8,188,5,Some Random Commen with Id 125
126,30,8,28,2,Some Random Commen with Id 126
127,30,8,18,9,Some Random Commen with Id 127
128,30,8,118,0,Some Random Commen with Id 128
129,30,8,29,7,Some Random Commen with Id 129
130,30,8,43,9,Some Random Commen with Id 130
131,30,8,163,1,Some Random Commen with Id 131
132,31,1,148,8,Some Random Commen with Id 132
133,31,1,197,5,Some Random Commen with Id 133
134,31,1,18,6,Some Random Commen with Id 134
135,31,1,106,6,Some Random Commen with Id 135
136,31,1,199,7,Some Random Commen with Id 136
137,31,1,187,6,Some Random Commen with Id 137
138,31,1,69,5,Some Random Commen with Id 138
139,31,1,152,0,Some Random Commen with Id 139
140,31,1,64,6,Some Random Commen with Id 140
141,32,4,144,0,Some Random Commen with Id 141
142,32,4,71,5,Some Random Commen with Id 142
143,33,9,111,3,Some Random Commen with Id 143
144,33,9,167,8,Some Random Commen with Id 144
145,33,9,103,3,Some Random Commen with Id 145
146,33,9,13,0,Some Random Commen with Id 146
147,33,9,146,9,Some Random Commen with Id 147
148,33,9,25,1,Some Random Commen with Id 148
149,33,9,39,2,Some Random Commen with Id 149
150,34,6,118,4,Some Random Commen with Id 150
151,34,6,182,1,Some Random Commen with Id 151
152,35,4,87,5,Some Random Commen with Id 152
153,35,4,39,8,Some Random Commen with Id 153
154,35,4,2,4,Some Random Commen with Id 154
155,35,4,155,0,Some Random Commen with Id 155
156,35,4,156,2,Some Random Commen with Id 156
157,36,6,151,4,Some Random Commen with Id 157
158,36,6,154,3,Some Random Commen with Id 158
159,38,8,182,7,Some Random Commen with Id 159
160,39,8,43,5,Some Random Commen with Id 160
161,39,8,42,2,Some Random Commen with Id 161
